Description	Resource	Path	Location
//config Secu 1 : classe SecurityWebApplicationInitializer vide car appli Spring	extend_AbstractSecurityWebApplicationInitializer.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/security	line 9
//config Secu 2 après //config step 7 : public AuthenticationTrustResolver getAu	extend_WebSecurityConfigurerAdapter.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/security	line 75
//config Secu 3 : logger de class CustomUserDetailsService	ImplementedSecurity_UserDetailsService.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/security	line 25
//config Secu 4 : public void configureGlobalSecurity(AuthenticationManagerBuild	extend_WebSecurityConfigurerAdapter.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/security	line 33
//config Secu 5 : @Bean public DaoAuthenticationProvider authenticationProvider(	extend_WebSecurityConfigurerAdapter.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/security	line 58
//config Secu 6 : @Bean public PasswordEncoder passwordEncoder() {	extend_WebSecurityConfigurerAdapter.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/security	line 52
//config Secu 7 : @bean public PersistentTokenBasedRememberMeServices getPersist	extend_WebSecurityConfigurerAdapter.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/security	line 67
//config Secu 8 : protected void configure(HttpSecurity http)	extend_WebSecurityConfigurerAdapter.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/security	line 40
//config step  10 : configuration ViewResolver pour jsp dans /WEB-INF/views/	extendsWebMvcConfigurerAdapter_AppConfig.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 36
//config step  12 > prise en compte des ressources	extendsWebMvcConfigurerAdapter_AppConfig.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 49
//config step 1 : prise en compte de la configuration par classe (AppConfig.clas	extendsAbstractAnnotationConfigDispatcherServletInitializer_AppInitializer.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 9
//config step 11 : conversion des values[Roles] to UserProfiles in newUser.jsp	extendsWebMvcConfigurerAdapter_AppConfig.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 59
//config step 2 : prise en compte de la configuration par servlet (pas dans ce p	extendsAbstractAnnotationConfigDispatcherServletInitializer_AppInitializer.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 15
//config step 3 : Servlet Mappings par defaut	extendsAbstractAnnotationConfigDispatcherServletInitializer_AppInitializer.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 21
//config step 4 : LocalSessionFactoryBean	ConfigurationHibernate.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 30
//config step 5 : dataSource	ConfigurationHibernate.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 40
//config step 6 : hibernateProperties	ConfigurationHibernate.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 50
//config step 7 : validation/error message in internationalized property files	extendsWebMvcConfigurerAdapter_AppConfig.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 69
//config step 8 : HibernateTransactionManager	ConfigurationHibernate.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 61
//config step 9 : required when handling '.' in @PathVariables	extendsWebMvcConfigurerAdapter_AppConfig.java	/SpringMVCHibernateWithSpringSecurityExample/src/main/java/com/websystique/springmvc/configuration	line 81
